Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(FULL-BASE)_overall,Base LSTM (rolled),rnti_count,0.035469314598933904,0.1883329886104235,0.14651463891802396,-1.2681018050274244,0.2631972786765639,49.80920097364308,71.78388576192447
B(FULL-BASE)_overall,Base LSTM (rolled),rb_down,0.01910182567475081,0.13820935451245986,0.0697957384693841,-0.011670349619967935,0.13843298885151156,60.318729852569554,64.43205552400224
B(FULL-BASE)_overall,Base LSTM (rolled),rb_up,0.02619987045087343,0.16186374038330337,0.0892417080527414,0.15908768446598143,0.16186373876466603,5902.82474993553,150.1099933835548
B(FULL-BASE)_overall,Base LSTM (rolled),down,0.017394610442734364,0.13188862893644154,0.08400994939746297,-0.2313825681121433,0.132379789608606,49.20034925255642,65.18954986753602
B(FULL-BASE)_overall,Base LSTM (rolled),up,0.02019323466868814,0.14210290168989562,0.07338232333508475,0.1613884852121913,0.14210290026886663,42026383591948.06,126.79179771849927
B(FULL-BASE)_overall,Basic Multistep LSTM,rnti_count,0.00765084960271561,0.08746913514329274,0.06738220823108172,0.5107628667165109,0.12223901137961919,30.567688413927723,25.787733749699193
B(FULL-BASE)_overall,Basic Multistep LSTM,rb_down,0.011022949263572203,0.10499023413428604,0.05639030978614071,0.4162028737356941,0.10516011714763437,65.94487947618572,44.62701676650362
B(FULL-BASE)_overall,Basic Multistep LSTM,rb_up,0.017975005857921365,0.13407089862427776,0.06715102837799711,0.423073338241705,0.13407089728356883,2025.3162005014892,132.41997096251265
B(FULL-BASE)_overall,Basic Multistep LSTM,down,0.009058353813022646,0.09517538449106809,0.05934338885756814,0.35874971055719496,0.09552982297600125,48.69501425221197,36.54337149183923
B(FULL-BASE)_overall,Basic Multistep LSTM,up,0.015294808012827787,0.12367217962350217,0.06284843141518327,0.3648168643374907,0.1236721783867804,8860435233077.121,115.28186176501147
B(FULL-BASE)_overall,Seq2Seq LSTM,rnti_count,0.008862577871118852,0.09414126550625317,0.06912626605176588,0.43327833948939753,0.13156338183358685,27.978967250747257,25.830669155225362
B(FULL-BASE)_overall,Seq2Seq LSTM,rb_down,0.0114731534213249,0.10711280699022363,0.05262233008411355,0.3923591739014909,0.10728612450465476,52.66920756906319,46.50025637898818
B(FULL-BASE)_overall,Seq2Seq LSTM,rb_up,0.017432139777093136,0.1320308288889119,0.058460703902938005,0.4404971943600059,0.13203082756860365,1721.3455674561183,128.94289075360882
B(FULL-BASE)_overall,Seq2Seq LSTM,down,0.009405806371658679,0.09698353660110916,0.05593222326080307,0.33415318249128,0.09734470874619866,40.03928514521982,34.61024844638874
B(FULL-BASE)_overall,Seq2Seq LSTM,up,0.015050834980758817,0.12268184454416561,0.05415516741851445,0.37494890099964995,0.12268184331734719,10790004982212.588,106.37367280827283
B(FULL-BASE)_overall,Transformer,rnti_count,0.007656568735414018,0.08750182132626737,0.0650661711678503,0.5103971541183645,0.12228469065478347,26.47153082240814,24.231162506428713
B(FULL-BASE)_overall,Transformer,rb_down,0.011973260092453687,0.10942239301191364,0.05657041291474715,0.36587253856919877,0.10959944763043057,59.50894024217551,45.34390331636732
B(FULL-BASE)_overall,Transformer,rb_up,0.019485489439837318,0.13959043462872847,0.0768589643862152,0.37459278377382144,0.1395904332328242,6131.475133728792,163.3696154337143
B(FULL-BASE)_overall,Transformer,down,0.009069873623572337,0.09523588411713485,0.057570655398959794,0.35793421118481505,0.09559054790607825,42.58671937605919,34.95032288869325
B(FULL-BASE)_overall,Transformer,up,0.016290906501567153,0.1276358354913194,0.06390597733124717,0.3234495610685967,0.12763583421496108,35571463081603.02,144.43792276907575
