Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.01481772652716768,0.12172808438141003,0.0947437853776222,0.18257551216494705,0.1609928992770491,33.128631949447204,33.05053507066517
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rb_down,0.005535578042813417,0.07440146532705802,0.03898509062425949,0.6209960193845642,0.07467169897709047,47.006946274031606,39.00652415749253
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rb_up,0.015418475505472802,0.1241711540796525,0.059022230321247045,0.4922184455607256,0.12417115283794097,2532.0979060592135,114.00325793673831
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,down,0.003601992736829625,0.06001660384285023,0.04399809435755141,0.5145196653845442,0.0735379081372429,40.448657634170885,31.14277912043769
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,up,0.01837334051228658,0.1355482958664054,0.06208481962710963,0.3640696930457792,0.13554829451092246,762.197707496626,95.79541050711012
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.01484892289888705,0.12185615659000185,0.09386003795530477,0.1808726856262397,0.16116228267187366,32.63940351633616,32.81603776144679
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rb_down,0.005798209048520837,0.07614597197830518,0.039794060040249685,0.6038181275014363,0.07642254185300472,46.117894277056045,39.14400014758921
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rb_up,0.015997941640784708,0.12648296976583334,0.059776423404291755,0.47314576192488367,0.12648296850100366,2710.9567519908223,112.63319377306493
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,down,0.0034024532700676425,0.058330551772357186,0.042763155410564774,0.5417723221800492,0.07147200079934717,39.366351878942474,30.49494829676702
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,up,0.01877970399535058,0.1370390601082428,0.06397282383269318,0.3500074443017387,0.13703905873785222,1119.0207076388272,98.38149801599263
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.01527162154784765,0.12357840243281853,0.09435158079897311,0.15756624210279213,0.16344005901996878,32.71635739429345,32.991939800020816
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rb_down,0.005898872554595739,0.07680411808357504,0.04055201160517129,0.5969407165641802,0.07708307841152036,45.90948555676218,39.74871793863352
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rb_up,0.017086384844893585,0.13071489909300157,0.06153872860333527,0.43730101478929273,0.1307148977858526,2507.188027754381,111.50844756648016
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,down,0.0032817122158358865,0.057286230595457115,0.04182706751910592,0.5580327893103993,0.07019240165752062,37.92163039358411,29.949733710418542
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,up,0.019789811510606457,0.14067626491560847,0.06445692759542287,0.3150559189600356,0.14067626350884585,847.4407811367765,97.56988267436965
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.01540329121657644,0.12410999644096539,0.0943616168669126,0.15029525157281853,0.16414312488225338,32.82642317027376,32.93303139613805
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rb_down,0.006094327148135405,0.07806617159906976,0.04142460815960973,0.5835886375856747,0.07834971583307833,46.93707831496998,40.5126934371069
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rb_up,0.018209572813264883,0.13494285017467536,0.06303452411350045,0.40031444387541204,0.13494284882524687,2634.5546859868177,109.19135172943375
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,down,0.0033797821863442916,0.05813589413042765,0.04259051426779926,0.544816000491102,0.07123348820660018,38.44801130073184,30.550167341452294
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,up,0.020750550728164372,0.14405051450156078,0.06584230977308114,0.2818224028325461,0.14405051306105565,704.0899090233651,99.57836176046536
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.015562586754260232,0.12475009721142598,0.09451053538420637,0.1415124185680977,0.1649896976299443,33.01729415981438,32.92378149429938
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rb_down,0.006234340782346657,0.07895784180400739,0.041938543758883756,0.5740262860790564,0.07924462467441978,48.01675182917835,40.429219317291434
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rb_up,0.01910957290742289,0.13823737883590997,0.06471106774669999,0.37067548138014805,0.1382373774535362,2766.8233560433864,105.94141604059466
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,down,0.003451303236670386,0.05874779346214108,0.043292400520886926,0.5351853964614991,0.07198324400688849,38.95056013948952,31.048361502233522
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,up,0.0216013075299195,0.1469738328067942,0.06753039993491905,0.252378350374876,0.1469738313370559,605.5746987559394,101.20211817382175
