Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rnti_count,0.008045311026658654,0.08969565779154894,0.06606278758951949,0.48521505111938346,0.12535059956316874,25.48787995002293,24.742963129090096
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rb_down,0.008326416768036544,0.09124920146519938,0.043579231678685056,0.5592914382335279,0.09139685033405236,47.25888896336146,36.28223367524474
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rb_up,0.012163997529814074,0.1102905142331564,0.052190030608080584,0.6102061641185678,0.1102905131302513,2719.0041335454753,123.9553604736124
B(FULL-BASE)_t+1,1,Base LSTM (rolled),down,0.007340304850621648,0.08567557907958165,0.0501020365733106,0.4807012384209194,0.08599463975485098,37.16738762974545,31.2375194720813
B(FULL-BASE)_t+1,1,Base LSTM (rolled),up,0.010708100604320562,0.10347995266872015,0.0459718751758918,0.5565876173654112,0.10347995163392064,22148424246480.168,95.75564107131352
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rnti_count,0.015703267002606814,0.12531267694294465,0.09348246319064657,-0.004525524623376631,0.17512574827389005,33.90198331590412,42.30242878595897
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rb_down,0.015540223971939018,0.12466043466930082,0.06184595252145334,0.17722879396775992,0.12486214571853847,52.72605739690033,52.11765607952241
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rb_up,0.021270691214933878,0.14584475038524314,0.07394712447569564,0.31781298192608454,0.1458447489267957,4839.006820909257,134.42851866765253
B(FULL-BASE)_t+2,2,Base LSTM (rolled),down,0.012653750963267369,0.11248889262174896,0.0669016721593384,0.10465216398237964,0.11290780758474976,40.44358766361239,47.09820511654619
B(FULL-BASE)_t+2,2,Base LSTM (rolled),up,0.01728773738314089,0.13148284064143462,0.06353081683020953,0.2831069108747769,0.13148283932660623,30121506762414.74,114.65893711468678
B(FULL-BASE)_t+3,3,Base LSTM (rolled),rnti_count,0.03499739100674005,0.18707589638096098,0.14933581764346124,-1.2381277026135473,0.2614404794228527,50.21094365049304,71.75989317922551
B(FULL-BASE)_t+3,3,Base LSTM (rolled),rb_down,0.021658909432395942,0.1471696620652366,0.0767977640607572,-0.14726852599116969,0.14740779493417677,61.349248220368736,74.89291513223158
