Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rnti_count,3932676.978638525,1983.0978237692977,1515.5201749099717,0.1567325114784155,0.16352040698886725,32.93949373223723,32.9644639586939
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rb_down,0.00048312985007404995,0.021980214968786133,0.011590409476074953,0.5912420665665283,0.07761336080666058,47.217906517196454,39.795887732303356
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rb_up,0.00011883069367931124,0.010900949210014292,0.005121258223188299,0.42052385059592234,0.13264922050530822,2758.6744108297075,109.64314610842642
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,down,1868676701951160.2,43228193.369040534,31711446.95651955,0.5382325547932292,0.071742501859016,39.01352745457444,30.694468298342937
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,up,296010525457247.06,17204956.42125394,7910218.515670623,0.30018482110521727,0.14219577133329045,773.3525264807308,98.89990736524442
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rnti_count,3348097.844002031,1829.7808185687243,1466.1058076318004,0.2820813721615263,0.15087833820727767,38.217084827068845,31.62500203876042
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rb_down,0.0005342092577092194,0.023112967306454173,0.011932038832400826,0.5480257074391477,0.0816131722740583,48.437918985265796,39.41902523740146
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rb_up,0.00011041827728550676,0.010508010148715443,0.005068402356892751,0.46154687678662343,0.12786770476909173,2400.960170258662,113.19212318959767
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,down,2304538955607328.0,48005613.79263188,38160872.33539468,0.4305269259261688,0.07967121844207523,51.196230110763,36.48015031049523
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,up,270578592444708.7,16449273.3105359,7894121.435672805,0.3603098883585444,0.13595019068890424,1167.2868352600526,95.98958350240608
