Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(FULL-BASE)_overall,Base LSTM (rolled),rnti_count,12918432.252348188,3594.2220649743094,2796.1439525823043,-1.2681017761731095,0.2631972806804099,49.80920097364308,71.78388576192447
B(FULL-BASE)_overall,Base LSTM (rolled),rb_down,0.0018891671187889778,0.04346455013903834,0.021949602389436083,-0.011670355050917403,0.1384329862006167,60.318729852569554,64.43205552400224
B(FULL-BASE)_overall,Base LSTM (rolled),rb_up,0.0001832895683026367,0.013538447780400703,0.007464267186351915,0.1590876877863171,0.16186372071155022,5902.82474993553,150.1099933835548
B(FULL-BASE)_overall,Base LSTM (rolled),down,1.213989536650296e+16,110181193.34306994,70182824.44737914,-0.2313825742361013,0.1323797912665119,49.20034925255642,65.18954986753602
B(FULL-BASE)_overall,Base LSTM (rolled),up,305386113421594.8,17475300.095322963,9024292.330106331,0.16138848530330585,0.14210290168217593,42026383591948.06,126.79179771849927
B(FULL-BASE)_overall,Basic Multistep LSTM,rnti_count,2786549.126961937,1669.2959974078706,1285.9490528722572,0.5107628463889512,0.12223901562731752,30.567688413927723,25.787733749699193
B(FULL-BASE)_overall,Basic Multistep LSTM,rb_down,0.0010901677115479015,0.03301768785890226,0.01773381742461301,0.4162028627124831,0.1051601158444387,65.94487947618572,44.62701676650362
B(FULL-BASE)_overall,Basic Multistep LSTM,rb_up,0.00012574990006628223,0.011213826290177774,0.0056165803190805896,0.42307333578975004,0.13407088287985788,2025.3162005014892,132.41997096251265
B(FULL-BASE)_overall,Basic Multistep LSTM,down,6321927256024237.0,79510548.08026566,49576110.241647564,0.35874974012243277,0.0955298217326265,48.69501425221197,36.54337149183923
B(FULL-BASE)_overall,Basic Multistep LSTM,up,231306281462536.44,15208756.736253507,7728872.503042611,0.36481685796771113,0.12367218024361037,8860435233077.121,115.28186176501147
B(FULL-BASE)_overall,Seq2Seq LSTM,rnti_count,3227877.8606265257,1796.629583588817,1319.2333220955088,0.4332783292937027,0.1315633848555581,27.978967250747257,25.830669155225362
B(FULL-BASE)_overall,Seq2Seq LSTM,rb_down,0.001134692810702969,0.03368520165744847,0.016548850332476245,0.39235916861952247,0.10728612262852533,52.66920756906319,46.50025637898818
B(FULL-BASE)_overall,Seq2Seq LSTM,rb_up,0.00012195210599444433,0.011043192744602637,0.004889712694408984,0.4404971958808357,0.13203081292405547,1721.3455674561183,128.94289075360882
B(FULL-BASE)_overall,Seq2Seq LSTM,down,6564418496629142.0,81021099.08307306,46726386.18304393,0.3341531946769354,0.0973447088325187,40.03928514521982,34.61024844638874
B(FULL-BASE)_overall,Seq2Seq LSTM,up,227616630319017.38,15086968.891033659,6659806.353828276,0.3749488967153187,0.12268184496461897,10790004982212.588,106.37367280827283
B(FULL-BASE)_overall,Transformer,rnti_count,2788632.113137549,1669.9197924264354,1241.7488704708953,0.5103971344703251,0.12228469481731198,26.47153082240814,24.231162506428713
B(FULL-BASE)_overall,Transformer,rb_down,0.0011841532950309286,0.03441152851924669,0.017790457088232004,0.3658725199565216,0.10959944684595792,59.50894024217551,45.34390331636732
B(FULL-BASE)_overall,Transformer,rb_up,0.00013631697097902384,0.011675485899054644,0.006428561973903436,0.3745927805849525,0.1395904182953749,6131.475133728792,163.3696154337143
B(FULL-BASE)_overall,Transformer,down,6329967051923861.0,79561090.06244108,48095149.449941345,0.3579342417781448,0.09559054658818099,42.58671937605919,34.95032288869325
B(FULL-BASE)_overall,Transformer,up,246370468167810.44,15696192.79213308,7858925.674584546,0.3234495531841325,0.1276358362350483,35571463081603.02,144.43792276907575
