Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rnti_count,2395680.2424056055,1547.7985147962913,1148.1050417865288,0.5791233496637271,0.11334201192114512,25.46613445124748,22.700098500636603
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rb_down,0.0008228056176847,0.02868458850471277,0.013473429109291219,0.5596529488006736,0.09135935450708263,42.470901590845514,33.9049910051232
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rb_up,8.444126599911598e-05,0.00918919289160457,0.00407061425728514,0.6132104131697702,0.10986465922072064,1145.6279601646609,111.35402417160503
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,down,4922179419546237.0,70158245.55635807,40430934.9193184,0.5010461296756307,0.08429327746938516,35.77251313438276,30.0676558963099
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,up,158930746091362.0,12606773.817728389,5678838.077997183,0.5648290424087051,0.10251378405968249,7649607335400.41,94.60967384704382
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rnti_count,2633982.9398141447,1622.9550023996799,1218.657359327248,0.5373773436396778,0.11884556256579462,27.660983166284474,24.161698723090446
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rb_down,0.0009208608497066695,0.030345689145357527,0.014710737175246277,0.50703019177238,0.09664989867074297,49.09018941173601,37.19428310806467
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rb_up,9.89983358529411e-05,0.009949790744178547,0.004525559666399422,0.5461512583573724,0.11895825697873445,1744.54851081334,119.30607886915894
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,down,5371636390909261.0,73291448.279518,42541968.95877015,0.455398443360189,0.088057737718024,38.38189195612875,31.74245838946545
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,up,185791795574465.7,13630546.415109912,6180302.949156094,0.4905525689650986,0.11083873733413575,11540887549523.562,100.82285134123126
B(CLU-BASE)_t+3,3,Seq2Seq LSTM + Clusters,rnti_count,2782994.659395989,1668.2309970133,1260.8148432118867,0.511342526936118,0.12216102790070874,28.921704785439783,24.969693190067467
B(CLU-BASE)_t+3,3,Seq2Seq LSTM + Clusters,rb_down,0.001023071600535159,0.03198549046888541,0.015645561574486135,0.45205240515785283,0.10187260529638459,52.41047205333958,39.139920628197835
B(CLU-BASE)_t+3,3,Seq2Seq LSTM + Clusters,rb_up,0.00011221555956141642,0.010593184580730029,0.004881285542418195,0.48531041983031165,0.12665058049737785,1725.8764182720056,121.92701875630065
B(CLU-BASE)_t+3,3,Seq2Seq LSTM + Clusters,down,5784232631283405.0,76054142.76213627,44530498.19436933,0.41311487952962045,0.09137704210968543,40.30675205929108,33.10847236779618
B(CLU-BASE)_t+3,3,Seq2Seq LSTM + Clusters,up,209014275606356.94,14457326.018540114,6599578.960035931,0.426432660500752,0.11756181390839811,10871504098858.06,102.10985355307143
B(CLU-BASE)_t+4,4,Seq2Seq LSTM + Clusters,rnti_count,2893923.5851554982,1701.1536042214113,1285.8208811590905,0.4919705494912706,0.12457188080112519,29.605663626100537,25.469723798350046
B(CLU-BASE)_t+4,4,Seq2Seq LSTM + Clusters,rb_down,0.0011156747650138755,0.033401717994945644,0.016629582644483894,0.4024104952653592,0.10638323763802575,56.73846184184201,41.38529324459581
B(CLU-BASE)_t+4,4,Seq2Seq LSTM + Clusters,rb_up,0.00012391400624695844,0.01113166682249152,0.005231080785600747,0.4313536416417425,0.13308859618443408,1754.2157565666778,124.45033992112313
