Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rnti_count,2930217.5515163215,1711.787823159261,1260.7686738411483,0.4852150441411268,0.1253506021644704,25.48787995002293,24.742963129090096
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rb_down,0.0008234811205194828,0.02869636075392632,0.013704945722883246,0.5592914348841663,0.0913968486858494,47.25888896336146,36.28223367524474
B(FULL-BASE)_t+1,1,Base LSTM (rolled),rb_up,8.509713310459487e-05,0.009224810735434893,0.004365227250028321,0.6102061644325903,0.1102905010025566,2719.0041335454753,123.9553604736124
B(FULL-BASE)_t+1,1,Base LSTM (rolled),down,5122881608280305.0,71574308.29760288,41855784.76762364,0.4807012528810609,0.08599463942071732,37.16738762974545,31.2375194720813
B(FULL-BASE)_t+1,1,Base LSTM (rolled),up,161940634853969.28,12725589.764485152,5653454.725787184,0.5565876152004408,0.10347995292134168,22148424246480.168,95.75564107131352
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rnti_count,5719354.644193915,2391.5172264054286,1784.056695216363,-0.004525503248107521,0.17512574885791427,33.90198331590412,42.30242878595897
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rb_down,0.001536925348237568,0.03920363947693591,0.0194495265259212,0.17722879149201975,0.1248621431802238,52.72605739690033,52.11765607952241
B(FULL-BASE)_t+2,2,Base LSTM (rolled),rb_up,0.00014880591884313383,0.012198603151309327,0.006185012666074336,0.3178129871167438,0.14584473239340065,4839.006820909257,134.42851866765253
B(FULL-BASE)_t+2,2,Base LSTM (rolled),down,8831195896409841.0,93974442.78318356,55890383.69927765,0.1046521614316106,0.11290780887886491,40.44358766361239,47.09820511654619
B(FULL-BASE)_t+2,2,Base LSTM (rolled),up,261445728362220.6,16169283.48326606,7812789.744274403,0.28310690869125055,0.13148284084167106,30121506762414.74,114.65893711468678
B(FULL-BASE)_t+3,3,Base LSTM (rolled),rnti_count,12746550.884400861,3570.2312088155945,2849.9844500871473,-1.2381276674111077,0.26144048102028267,50.21094365049304,71.75989317922551
B(FULL-BASE)_t+3,3,Base LSTM (rolled),rb_down,0.002142062243282469,0.04628241829553063,0.02415162336951797,-0.147268532910924,0.1474077921603014,61.349248220368736,74.89291513223158
B(FULL-BASE)_t+3,3,Base LSTM (rolled),rb_up,0.0001645254013902229,0.012826745549445615,0.0068299305974101185,0.24538530931231906,0.1533547119234178,6451.588567962649,141.04707636844654
B(FULL-BASE)_t+3,3,Base LSTM (rolled),down,1.3435992995351684e+16,115913730.83182028,76241852.59648083,-0.3632550539321133,0.13926728352506215,52.938249999802935,72.40399156111124
B(FULL-BASE)_t+3,3,Base LSTM (rolled),up,251933076703104.12,15872399.840701599,7781405.527880163,0.3086568651004401,0.1290686890479817,45979044732716.375,118.02421588225369
B(FULL-BASE)_t+4,4,Base LSTM (rolled),rnti_count,17079404.128896687,4132.723572766111,3389.8725840749953,-1.9982962712381633,0.302630607261503,59.064004844449045,89.79038769170864
B(FULL-BASE)_t+4,4,Base LSTM (rolled),rb_down,0.002288594993583529,0.047839262050992475,0.025267992898001846,-0.22584142945704255,0.1523662819968911,64.63622712815314,78.85547714011314
