HH:MM:SS,DLMACTHP(Mbps),DLGrant,DLSchUserNum,UsFlag,PCI,DLRb_Used,DLSuMcs,DLreduceMcs,DLSchMcs,DLRank,IBLER(%),ResBLER(%),sumPdschDrb(byte),cntDrbIsZero,DLAvailRb,CQI,BwpId,BwpFreqOffset,BwpBw,CRNTI
"11:42:43","0.04","22","1.09","0.00","200.00","4.18","18.77","5.00","5.00","2.0","0.00","0.00","0","22","241.18","12.00","1.00","16.00","217.00","10211|2069"
"11:42:43","0.00","6","1.00","0.00","200.00","4.00","22.67","2.00","2.00","2.0","0.00","0.00","0","6","245.00","10.00","1.00","0.00","245.00","11098|6679"
"11:42:43","0.00","1","1.00","0.00","200.00","16.00","9.00","0.00","0.00","3.0","0.00","0.00","0","1","245.00","9.00","1.00","0.00","245.00","11144|3490"
"11:42:43","0.09","17","1.06","0.00","200.00","8.71","16.41","4.00","4.00","3.0","0.00","0.00","0","17","241.29","9.29","1.00","0.00","245.00","11805|4796"
"11:42:43","0.03","11","1.09","0.00","200.00","16.00","26.00","2.09","2.09","2.0","0.00","0.00","0","11","243.09","13.18","1.00","0.00","245.00","11924|6737"
"11:42:43","0.00","2","1.00","0.00","200.00","4.00","9.00","1.00","1.00","2.0","0.00","0.00","0","2","245.00","9.00","1.00","0.00","245.00","12191|9101"
"11:42:43","0.00","1","1.00","0.00","200.00","16.00","16.00","0.00","0.00","1.0","0.00","0.00","0","1","245.00","7.00","1.00","0.00","245.00","9768|2603"
"11:42:44","0.00","3","1.33","0.00","200.00","16.00","10.00","0.00","0.00","1.33","33.33","0.00","0","3","245.00","11.00","1.00","0.00","245.00","10163|7557"
"11:42:44","0.12","13","1.08","0.00","200.00","16.31","19.55","4.82","4.82","2.0","0.00","0.00","0","11","243.38","11.92","1.00","16.00","217.00","10211|2069"
"11:42:44","0.01","4","1.00","0.00","200.00","4.00","23.00","6.00","6.00","2.0","0.00","0.00","0","4","245.00","10.25","1.00","0.00","245.00","11098|6679"
"11:42:44","0.06","22","1.05","0.00","200.00","6.18","16.10","3.60","3.60","3.0","0.00","0.00","0","20","243.09","9.45","1.00","0.00","245.00","11805|4796"
"11:42:44","0.01","3","1.00","0.00","200.00","16.00","25.33","2.33","2.33","2.0","0.00","0.00","0","3","238.00","13.00","1.00","0.00","245.00","11924|6737"
"11:42:44","0.01","5","1.20","0.00","200.00","8.80","8.25","1.50","1.50","2.0","0.00","0.00","0","4","245.00","8.60","1.00","0.00","245.00","12191|9101"
"11:42:44","0.02","9","1.00","0.00","200.00","16.00","17.00","2.22","2.22","2.0","0.00","0.00","0","9","238.00","8.67","1.00","0.00","245.00","9768|2603"
"11:42:45","0.00","2","1.00","0.00","200.00","4.00","20.00","3.00","3.00","2.0","0.00","0.00","0","2","245.00","12.00","1.00","16.00","217.00","10211|2069"
"11:42:45","0.01","7","1.00","0.00","200.00","4.57","12.43","3.29","3.29","2.0","0.00","0.00","0","7","245.00","8.43","1.00","0.00","245.00","10598|5372"
"11:42:45","0.00","5","1.00","0.00","200.00","6.40","23.60","1.60","1.60","1.8","0.00","0.00","0","5","245.00","10.20","1.00","0.00","245.00","11098|6679"
"11:42:45","0.00","1","1.00","0.00","200.00","16.00","9.00","0.00","0.00","3.0","0.00","0.00","0","1","245.00","6.00","1.00","0.00","245.00","11144|3490"
"11:42:45","0.00","5","1.00","0.00","200.00","4.00","17.60","1.60","1.60","3.0","0.00","0.00","0","5","240.80","10.20","1.00","0.00","245.00","11805|4796"
"11:42:45","0.11","22","1.00","0.00","200.00","16.73","25.23","3.41","3.41","2.0","0.00","0.00","0","22","240.23","13.32","1.00","0.00","245.00","11924|6737"
"11:42:45","0.00","3","1.00","0.00","200.00","4.00","9.67","0.67","0.67","2.0","0.00","0.00","0","3","245.00","9.33","1.00","0.00","245.00","12191|9101"
"11:42:45","0.01","8","1.00","0.00","200.00","16.00","15.38","0.88","0.88","2.0","0.00","0.00","0","8","245.00","7.00","1.00","0.00","245.00","9768|2603"
"11:42:46","0.00","5","1.20","0.00","200.00","4.00","18.60","0.80","0.80","2.0","0.00","0.00","0","5","245.00","10.60","1.00","16.00","217.00","10211|2069"
"11:42:46","0.09","12","1.00","0.00","200.00","12.67","13.00","4.92","4.92","2.0","0.00","0.00","0","12","239.75","8.58","1.00","0.00","245.00","10598|5372"
"11:42:46","1.78","22","1.00","0.00","200.00","88.00","23.06","12.31","12.25","2.0","0.00","0.00","0","16","241.18","9.95","1.00","0.00","245.00","11098|6679"
"11:42:46","0.00","3","1.00","0.00","200.00","16.00","7.00","2.00","2.00","3.0","0.00","0.00","0","1","238.00","6.67","1.00","0.00","245.00","11144|3490"
"11:42:46","0.00","1","2.00","0.00","200.00","4.00","17.00","0.00","0.00","3.0","0.00","0.00","0","1","245.00","9.00","1.00","0.00","245.00","11805|4796"
"11:42:46","0.01","2","1.00","0.00","200.00","16.00","25.00","2.00","2.00","2.0","0.00","0.00","0","2","245.00","13.00","1.00","0.00","245.00","11924|6737"
"11:42:46","0.00","3","1.00","0.00","200.00","16.00","16.67","0.00","0.00","1.0","0.00","0.00","0","3","231.00","8.00","1.00","0.00","245.00","9768|2603"
"11:42:47","0.10","19","1.00","0.00","200.00","9.05","12.83","4.39","4.39","2.0","0.00","0.00","0","18","245.00","8.11","1.00","0.00","245.00","10598|5372"
"11:42:47","0.86","31","1.00","0.00","200.00","25.16","23.04","9.86","9.86","2.0","0.00","0.00","0","28","240.26","9.61","1.00","0.00","245.00","11098|6679"
"11:42:47","0.00","2","1.00","0.00","200.00","16.00","26.00","2.00","2.00","2.0","0.00","0.00","0","2","234.50","13.50","1.00","0.00","245.00","11924|6737"
"11:42:47","0.00","4","1.00","0.00","200.00","4.00","9.00","2.33","2.33","2.0","0.00","0.00","0","3","245.00","9.00","1.00","0.00","245.00","12191|9101"
"11:42:48","0.05","17","1.00","0.00","200.00","8.00","12.06","4.06","4.06","2.0","0.00","0.00","0","16","243.76","8.41","1.00","0.00","245.00","10598|5372"
"11:42:48","0.01","11","1.00","0.00","200.00","4.00","22.36","4.36","4.36","2.0","0.00","0.00","0","11","245.00","9.82","1.00","0.00","245.00","11098|6679"
"11:42:48","0.01","2","1.00","0.00","200.00","16.00","26.00","0.17","0.17","2.0","0.00","0.00","0","2","237.70","13.70","1.00","0.00","245.00","11924|6737"
"11:42:48","0.00","1","1.00","0.00","200.00","16.00","15.00","0.00","0.00","1.0","0.00","0.00","0","1","245.00","10.00","1.00","0.00","245.00","9768|2603"
"11:42:49","0.00","4","1.00","0.00","200.00","4.00","13.00","4.67","4.67","2.0","0.00","0.00","0","3","239.75","9.00","1.00","0.00","245.00","10598|5372"
"11:42:49","0.00","6","1.00","0.00","200.00","4.00","23.83","2.33","2.33","2.0","0.00","0.00","0","6","238.00","10.67","1.00","0.00","245.00","11098|6679"
"11:42:49","0.00","1","1.00","0.00","200.00","16.00","10.00","0.00","0.00","1.0","0.00","0.00","0","1","245.00","10.00","1.00","0.00","245.00","11144|3490"
"11:42:49","0.01","4","1.00","0.00","200.00","16.00","25.63","0.30","0.30","2.0","0.00","0.00","0","4","238.00","13.04","1.00","0.00","245.00","11924|6737"
"11:42:49","0.00","1","1.00","0.00","200.00","16.00","15.00","0.00","0.00","2.0","0.00","0.00","0","1","245.00","11.00","1.00","0.00","245.00","9768|2603"
"11:42:50","0.01","5","1.00","0.00","200.00","4.80","23.80","4.60","4.60","2.0","0.00","0.00","0","5","240.80","10.00","1.00","0.00","245.00","11098|6679"
"11:42:50","0.00","6","1.00","0.00","200.00","4.67","10.33","1.00","1.00","2.0","0.00","0.00","0","6","241.50","9.17","1.00","0.00","245.00","12191|9101"
"11:42:50","0.00","3","1.00","0.00","200.00","16.00","17.33","0.00","0.00","1.0","0.00","0.00","0","3","238.00","9.33","1.00","0.00","245.00","9768|2603"
"11:42:51","0.00","3","1.33","0.00","200.00","4.00","12.67","4.67","4.67","2.0","0.00","0.00","0","3","245.00","8.67","1.00","0.00","245.00","10598|5372"
"11:42:51","0.01","7","1.14","0.00","200.00","4.00","22.14","2.71","2.71","2.0","0.00","0.00","0","7","242.00","10.00","1.00","0.00","245.00","11098|6679"
"11:42:51","0.03","11","1.04","0.00","200.00","16.00","26.00","0.53","0.53","2.0","0.00","0.00","0","11","240.06","13.63","1.00","0.00","245.00","11924|6737"
"11:42:51","0.41","54","1.07","0.00","200.00","21.33","13.61","3.29","3.29","1.96","0.00","0.00","0","51","241.11","8.44","1.00","0.00","245.00","9768|2603"
"11:42:52","0.01","3","1.00","0.00","200.00","9.33","10.33","3.33","3.33","2.0","0.00","0.00","0","3","245.00","7.67","1.00","0.00","245.00","10598|5372"
"11:42:52","0.02","14","1.07","0.00","200.00","4.29","22.64","3.43","3.43","2.0","0.00","0.00","0","14","243.50","9.93","1.00","0.00","245.00","11098|6679"
"11:42:52","0.00","2","1.00","0.00","200.00","16.00","12.00","0.00","0.00","1.0","0.00","0.00","0","2","245.00","10.00","1.00","0.00","245.00","11144|3490"
